,completeness,homogeneity,mutual_info,rand,v_measure
3:7-0.6,0.02,0.01,0.02,0.04,0.01
3:7-0.65,0.01,0.0,0.02,0.05,0.01
4:6-0.45,0.03,0.07,0.06,0.04,0.08
4:6-0.5,0.02,0.03,0.03,0.06,0.02
4:6-0.55,0.01,0.01,0.01,0.02,0.01
4:6-0.6,0.02,0.01,0.03,0.04,0.01
4:6-0.65,0.01,0.0,0.02,0.05,0.01
5:5-0.45,0.02,0.07,0.07,0.07,0.07
5:5-0.5,0.01,0.02,0.02,0.05,0.02
5:5-0.55,0.01,0.01,0.01,0.02,0.01
5:5-0.6,0.02,0.01,0.03,0.04,0.01
5:5-0.65,0.01,0.0,0.02,0.05,0.01
6:4-0.45,0.02,0.06,0.06,0.08,0.05
6:4-0.5,0.01,0.02,0.03,0.06,0.02
6:4-0.55,0.01,0.01,0.01,0.01,0.01
6:4-0.6,0.02,0.0,0.03,0.04,0.01
6:4-0.65,0.02,0.0,0.02,0.05,0.01
7:3-0.45,0.01,0.04,0.04,0.07,0.03
7:3-0.5,0.01,0.02,0.02,0.05,0.01
7:3-0.55,0.01,0.01,0.01,0.02,0.01
7:3-0.6,0.02,0.01,0.02,0.04,0.01
7:3-0.65,0.02,0.0,0.02,0.05,0.01
8:2-0.45,0.02,0.03,0.03,0.07,0.02
8:2-0.5,0.01,0.02,0.02,0.04,0.01
8:2-0.55,0.01,0.01,0.01,0.02,0.01
8:2-0.6,0.02,0.0,0.03,0.04,0.01
8:2-0.65,0.01,0.0,0.02,0.05,0.01
9:1-0.45,0.02,0.03,0.04,0.08,0.02
9:1-0.5,0.02,0.02,0.02,0.05,0.01
9:1-0.55,0.01,0.01,0.01,0.02,0.01
9:1-0.6,0.02,0.0,0.02,0.04,0.01
9:1-0.65,0.02,0.0,0.02,0.05,0.01
test finished in 42734.29 seconds
