,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.02,0.0,0.87,0.1,0.19
0.65,0.06,0.01,0.89,0.28,0.42
0.70,0.13,0.03,0.91,0.52,0.66
0.75,0.19,0.11,0.91,0.71,0.79
0.80,0.3,0.22,0.91,0.86,0.88
0.85,0.2,0.18,0.89,0.96,0.93
0.90,0.03,0.07,0.88,0.99,0.93
max
0.60,0.02,0.0,0.87,0.1,0.19
0.65,0.06,0.01,0.89,0.28,0.42
0.70,0.13,0.03,0.91,0.52,0.66
0.75,0.19,0.11,0.91,0.71,0.79
0.80,0.3,0.22,0.91,0.86,0.88
0.85,0.2,0.18,0.89,0.96,0.93
0.90,0.03,0.07,0.88,0.99,0.93
min
0.60,0.02,0.0,0.87,0.1,0.19
0.65,0.06,0.01,0.89,0.28,0.42
0.70,0.13,0.03,0.91,0.52,0.66
0.75,0.19,0.11,0.91,0.71,0.79
0.80,0.3,0.22,0.91,0.86,0.88
0.85,0.2,0.18,0.89,0.96,0.93
0.90,0.03,0.07,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 14735.44 seconds
