,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.70,0.16,0.06,0.91,0.61,0.73
0.75,0.23,0.16,0.91,0.78,0.84
0.80,0.35,0.24,0.91,0.91,0.91
0.85,0.16,0.16,0.89,0.98,0.93
0.90,0.02,0.06,0.88,0.99,0.93
0.95,-0.03,0.03,0.88,1.0,0.93
max
0.70,0.16,0.06,0.91,0.61,0.73
0.75,0.23,0.16,0.91,0.78,0.84
0.80,0.35,0.24,0.91,0.91,0.91
0.85,0.16,0.16,0.89,0.98,0.93
0.90,0.02,0.06,0.88,0.99,0.93
0.95,-0.03,0.03,0.88,1.0,0.93
min
0.70,0.16,0.06,0.91,0.61,0.73
0.75,0.23,0.16,0.91,0.78,0.84
0.80,0.35,0.24,0.91,0.91,0.91
0.85,0.16,0.16,0.89,0.98,0.93
0.90,0.02,0.06,0.88,0.99,0.93
0.95,-0.03,0.03,0.88,1.0,0.93
std
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0,0.0
test finished in 11754.83 seconds
