,completeness,homogeneity,mutual_info,rand,v_measure
mean
6:4-0.7,0.9,0.96,0.89,0.89,0.93
7:3-0.7,0.9,0.96,0.89,0.9,0.93
8:2-0.7,0.89,0.96,0.89,0.9,0.93
9:1-0.7,0.9,0.96,0.9,0.9,0.93
max
6:4-0.7,0.9,0.96,0.89,0.89,0.93
7:3-0.7,0.9,0.96,0.89,0.9,0.93
8:2-0.7,0.89,0.96,0.89,0.9,0.93
9:1-0.7,0.9,0.96,0.9,0.9,0.93
min
6:4-0.7,0.9,0.96,0.89,0.89,0.93
7:3-0.7,0.9,0.96,0.89,0.9,0.93
8:2-0.7,0.89,0.96,0.89,0.9,0.93
9:1-0.7,0.9,0.96,0.9,0.9,0.93
std
6:4-0.7,0.0,0.0,0.0,0.0,0.0
7:3-0.7,0.0,0.0,0.0,0.0,0.0
8:2-0.7,0.0,0.0,0.0,0.0,0.0
9:1-0.7,0.0,0.0,0.0,0.0,0.0
test finished in 7262.34 seconds
