,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.01,0.01,1.0,0.03,0.05
0.50,0.03,0.02,0.92,0.06,0.1
0.55,0.26,0.43,0.9,0.42,0.57
0.60,0.4,0.52,0.84,0.61,0.7
0.65,0.57,0.54,0.81,0.77,0.79
0.70,0.42,0.16,0.72,0.88,0.79
0.75,0.35,0.1,0.69,0.95,0.8
0.80,0.25,0.04,0.66,0.98,0.79
0.85,0.17,0.03,0.63,1.0,0.77
0.90,0.14,0.02,0.62,1.0,0.77
max
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.01,0.01,1.0,0.03,0.05
0.50,0.03,0.02,0.92,0.06,0.1
0.55,0.26,0.43,0.9,0.42,0.57
0.60,0.4,0.52,0.84,0.61,0.7
0.65,0.57,0.54,0.81,0.77,0.79
0.70,0.42,0.16,0.72,0.88,0.79
0.75,0.35,0.1,0.69,0.95,0.8
0.80,0.25,0.04,0.66,0.98,0.79
0.85,0.17,0.03,0.63,1.0,0.77
0.90,0.14,0.02,0.62,1.0,0.77
min
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.01,0.01,1.0,0.03,0.05
0.50,0.03,0.02,0.92,0.06,0.1
0.55,0.26,0.43,0.9,0.42,0.57
0.60,0.4,0.52,0.84,0.61,0.7
0.65,0.57,0.54,0.81,0.77,0.79
0.70,0.42,0.16,0.72,0.88,0.79
0.75,0.35,0.1,0.69,0.95,0.8
0.80,0.25,0.04,0.66,0.98,0.79
0.85,0.17,0.03,0.63,1.0,0.77
0.90,0.14,0.02,0.62,1.0,0.77
std
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 860.36 seconds
