,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,0.87,0.01,0.01
0.40,0.07,0.01,0.87,0.37,0.52
0.50,0.17,0.11,0.9,0.69,0.78
0.60,0.25,0.21,0.9,0.84,0.87
0.65,0.32,0.24,0.9,0.9,0.9
0.70,0.29,0.25,0.9,0.94,0.92
0.75,0.21,0.23,0.9,0.97,0.93
0.80,0.14,0.18,0.89,0.98,0.93
0.90,0.02,0.08,0.88,1.0,0.93
max
0.30,0.0,-0.0,0.87,0.01,0.01
0.40,0.07,0.01,0.87,0.37,0.52
0.50,0.17,0.11,0.9,0.69,0.78
0.60,0.25,0.21,0.9,0.84,0.87
0.65,0.32,0.24,0.9,0.9,0.9
0.70,0.29,0.25,0.9,0.94,0.92
0.75,0.21,0.23,0.9,0.97,0.93
0.80,0.14,0.18,0.89,0.98,0.93
0.90,0.02,0.08,0.88,1.0,0.93
min
0.30,0.0,-0.0,0.87,0.01,0.01
0.40,0.07,0.01,0.87,0.37,0.52
0.50,0.17,0.11,0.9,0.69,0.78
0.60,0.25,0.21,0.9,0.84,0.87
0.65,0.32,0.24,0.9,0.9,0.9
0.70,0.29,0.25,0.9,0.94,0.92
0.75,0.21,0.23,0.9,0.97,0.93
0.80,0.14,0.18,0.89,0.98,0.93
0.90,0.02,0.08,0.88,1.0,0.93
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 207.22 seconds
