,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.4,0.4,0.95,0.85,0.9
0.10,0.42,0.41,0.95,0.87,0.91
0.15,0.54,0.49,0.95,0.92,0.93
0.20,0.65,0.54,0.95,0.95,0.95
0.25,0.62,0.55,0.95,0.98,0.96
0.30,0.59,0.53,0.94,0.99,0.97
0.35,0.56,0.52,0.94,0.99,0.97
0.40,0.55,0.51,0.94,1.0,0.97
0.45,0.53,0.5,0.94,1.0,0.97
max
0.05,0.4,0.4,0.95,0.85,0.9
0.10,0.42,0.41,0.95,0.87,0.91
0.15,0.54,0.49,0.95,0.92,0.93
0.20,0.65,0.54,0.95,0.95,0.95
0.25,0.62,0.55,0.95,0.98,0.96
0.30,0.59,0.53,0.94,0.99,0.97
0.35,0.56,0.52,0.94,0.99,0.97
0.40,0.55,0.51,0.94,1.0,0.97
0.45,0.53,0.5,0.94,1.0,0.97
min
0.05,0.4,0.4,0.95,0.85,0.9
0.10,0.42,0.41,0.95,0.87,0.91
0.15,0.54,0.49,0.95,0.92,0.93
0.20,0.65,0.54,0.95,0.95,0.95
0.25,0.62,0.55,0.95,0.98,0.96
0.30,0.59,0.53,0.94,0.99,0.97
0.35,0.56,0.52,0.94,0.99,0.97
0.40,0.55,0.51,0.94,1.0,0.97
0.45,0.53,0.5,0.94,1.0,0.97
std
0.05,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 5830.46 seconds
