,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,0.97,0.02,0.04
0.35,0.02,0.0,0.98,0.08,0.15
0.40,0.08,0.01,0.96,0.27,0.42
0.45,0.17,0.04,0.96,0.5,0.66
0.50,0.26,0.17,0.96,0.68,0.8
0.55,0.35,0.3,0.96,0.79,0.87
0.60,0.46,0.45,0.96,0.87,0.91
0.65,0.6,0.54,0.96,0.93,0.94
0.70,0.67,0.6,0.95,0.97,0.96
0.75,0.61,0.58,0.95,0.99,0.97
0.80,0.58,0.57,0.94,1.0,0.97
0.85,0.54,0.52,0.94,1.0,0.97
0.90,0.51,0.5,0.93,1.0,0.97
max
0.30,0.0,0.0,0.97,0.02,0.04
0.35,0.02,0.0,0.98,0.08,0.15
0.40,0.08,0.01,0.96,0.27,0.42
0.45,0.17,0.04,0.96,0.5,0.66
0.50,0.26,0.17,0.96,0.68,0.8
0.55,0.35,0.3,0.96,0.79,0.87
0.60,0.46,0.45,0.96,0.87,0.91
0.65,0.6,0.54,0.96,0.93,0.94
0.70,0.67,0.6,0.95,0.97,0.96
0.75,0.61,0.58,0.95,0.99,0.97
0.80,0.58,0.57,0.94,1.0,0.97
0.85,0.54,0.52,0.94,1.0,0.97
0.90,0.51,0.5,0.93,1.0,0.97
min
0.30,0.0,0.0,0.97,0.02,0.04
0.35,0.02,0.0,0.98,0.08,0.15
0.40,0.08,0.01,0.96,0.27,0.42
0.45,0.17,0.04,0.96,0.5,0.66
0.50,0.26,0.17,0.96,0.68,0.8
0.55,0.35,0.3,0.96,0.79,0.87
0.60,0.46,0.45,0.96,0.87,0.91
0.65,0.6,0.54,0.96,0.93,0.94
0.70,0.67,0.6,0.95,0.97,0.96
0.75,0.61,0.58,0.95,0.99,0.97
0.80,0.58,0.57,0.94,1.0,0.97
0.85,0.54,0.52,0.94,1.0,0.97
0.90,0.51,0.5,0.93,1.0,0.97
std
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 354.00 seconds
