,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,1.0,0.0,0.0
0.60,0.0,0.0,1.0,0.0,0.0
0.70,0.01,0.0,0.96,0.04,0.08
0.80,0.26,0.08,0.91,0.85,0.88
0.85,0.12,0.13,0.89,0.98,0.93
max
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,1.0,0.0,0.0
0.60,0.0,0.0,1.0,0.0,0.0
0.70,0.01,0.0,0.96,0.04,0.08
0.80,0.26,0.08,0.91,0.85,0.88
0.85,0.12,0.13,0.89,0.98,0.93
min
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,1.0,0.0,0.0
0.60,0.0,0.0,1.0,0.0,0.0
0.70,0.01,0.0,0.96,0.04,0.08
0.80,0.26,0.08,0.91,0.85,0.88
0.85,0.12,0.13,0.89,0.98,0.93
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
test finished in 12825.14 seconds
