,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.2,0.18,0.91,0.73,0.81
0.65,0.24,0.21,0.91,0.79,0.85
0.70,0.29,0.24,0.91,0.85,0.88
0.75,0.35,0.26,0.91,0.92,0.91
0.80,0.25,0.23,0.9,0.98,0.94
0.85,0.08,0.12,0.89,0.99,0.94
0.90,0.01,0.06,0.88,0.99,0.93
max
0.60,0.2,0.18,0.91,0.73,0.81
0.65,0.24,0.21,0.91,0.79,0.85
0.70,0.29,0.24,0.91,0.85,0.88
0.75,0.35,0.26,0.91,0.92,0.91
0.80,0.25,0.23,0.9,0.98,0.94
0.85,0.08,0.12,0.89,0.99,0.94
0.90,0.01,0.06,0.88,0.99,0.93
min
0.60,0.2,0.18,0.91,0.73,0.81
0.65,0.24,0.21,0.91,0.79,0.85
0.70,0.29,0.24,0.91,0.85,0.88
0.75,0.35,0.26,0.91,0.92,0.91
0.80,0.25,0.23,0.9,0.98,0.94
0.85,0.08,0.12,0.89,0.99,0.94
0.90,0.01,0.06,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 3674.95 seconds
