,completeness,homogeneity,mutual_info,rand,v_measure
4:6-0.6,0.02,0.01,0.02,0.03,0.01
4:6-0.65,0.02,0.01,0.02,0.03,0.01
5:5-0.45,0.02,0.06,0.06,0.05,0.05
5:5-0.5,0.01,0.02,0.03,0.05,0.02
5:5-0.55,0.01,0.01,0.01,0.02,0.01
5:5-0.6,0.02,0.01,0.02,0.03,0.01
5:5-0.65,0.02,0.01,0.02,0.03,0.01
6:4-0.45,0.01,0.05,0.05,0.06,0.04
6:4-0.5,0.01,0.02,0.02,0.06,0.01
6:4-0.55,0.01,0.01,0.01,0.02,0.01
6:4-0.6,0.02,0.01,0.02,0.03,0.01
6:4-0.65,0.02,0.01,0.02,0.03,0.01
7:3-0.45,0.01,0.04,0.04,0.08,0.03
7:3-0.5,0.01,0.02,0.02,0.05,0.01
7:3-0.55,0.01,0.01,0.02,0.02,0.01
7:3-0.6,0.02,0.01,0.02,0.03,0.01
7:3-0.65,0.02,0.01,0.02,0.03,0.01
8:2-0.45,0.01,0.03,0.04,0.06,0.03
8:2-0.5,0.01,0.01,0.01,0.03,0.01
8:2-0.55,0.01,0.01,0.02,0.02,0.01
8:2-0.6,0.02,0.01,0.02,0.03,0.01
8:2-0.65,0.02,0.01,0.02,0.03,0.01
9:1-0.45,0.01,0.03,0.03,0.08,0.02
9:1-0.5,0.01,0.01,0.01,0.03,0.01
9:1-0.55,0.02,0.01,0.02,0.02,0.01
9:1-0.6,0.02,0.01,0.02,0.03,0.01
9:1-0.65,0.02,0.01,0.02,0.03,0.01
test finished in 37932.48 seconds
